Topic,Geography,Link,Beinhaltet Klassifizierung,typename
Eurostat,NUTS-1 (Schweiz),https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=Country,Nein,
Eurostat,NUTS-2 (Grossregionen),https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=REGCH,Nein,
Eurostat,NUTS-3 (Kantone),https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=Cantons,Nein,
Eurostat,LAU (Gemeinden),https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=Communes,Nein,
Eurostat,DEGURBA,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=DEGURB2021,Ja?,
Eurostat,Greater Cities,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=GCITIES2021,Ja?,
Eurostat,FUA,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=FUA2021,Ja?,
Institutional,Landesgrenze (NUTS-1),https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=Country,Nein,
Institutional,Kantone (NUTS-3),https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=Cantons,Nein,
Institutional,Bezirke,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=Districts,Nein,
Institutional,Wahlkreise Kanton Zürich,https://datenkatalog.statistik.zh.ch/datasets/236@statistisches-amt-kanton-zuerich,Nein,
Institutional,Gemeinden (LAU),https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=Communes,Nein,ms:ogd-0095_arv_basis_up_gemeinden_f
Institutional,Stimmkreise Stadt Zürich,https://www.stadt-zuerich.ch/geodaten/download/Stimmkreise,Nein,
Institutional,Kreise Stadt Zürich und Winterthur,https://geolion.zh.ch/geodatensatz/362,Nein,ms:ogd-0278_arv_basis_up_stadtkreise_f
Institutional,Quartiere Stadt Zürich,https://www.stadt-zuerich.ch/geodaten/download/Quartiere__basierend_auf_Vermessungsbezirken_,Nein,
Analytical Regions,Grossregionen (NUTS-2),https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=REGCH,Nein,
Analytical Regions,MS-Regionen (Mobilité Spatiale),https://www.bfs.admin.ch/bfs/de/home/statistiken/raum-umwelt/nomenklaturen/msreg.html,Nein,
Analytical Regions,Arbeitsmarktregionen,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=BAE2018,Nein,
Analytical Regions,Arbeitsmarktgrossregionen,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=GBAE2018,Nein,
Analytical Regions,Sprachregionen,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=SPRGEB2020,Ja,
Analytical Regions,Bergregionen,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=MONT2019,Ja,
Analytical Regions,Agglomerationen,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=AGGL2020,Ja?,
Analytical Regions,Gemeindetypologie,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=GDETYP2020,Ja,
Analytical Regions,Statistische Städte,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=STADTE2020,Ja?,
Analytical Regions,Raum mit städtischem Charakter,https://www.agvchapp.bfs.admin.ch/de/boundaries?SnapshotDate=06.04.2025&Unit=RSC2020,Ja?,
Gesundheit,MedStat (Zusammengelegte PLZ),https://www.versorgungsatlas.ch/p/regions/map,Nein,
Gesundheit,Spitaleinzugsgebiete (HAS),https://www.versorgungsatlas.ch/p/regions/map,Nein,
Gesundheit,Regionen der Zentrumsversorgung (HRR-C),https://www.versorgungsatlas.ch/p/regions/map,Nein,
Gesundheit,Regionen der Spzialversorgung (HRR-S),https://www.versorgungsatlas.ch/p/regions/map,Nein,
Statistical,USPAT1,https://www.bfs.admin.ch/bfs/de/home/statistiken/querschnittsthemen/raeumliche-analysen/raeumliche-gliederungen/uspat.html,Nein,
Statistical,USPAT2,https://www.bfs.admin.ch/bfs/de/home/statistiken/querschnittsthemen/raeumliche-analysen/raeumliche-gliederungen/uspat.html,Nein,
Statistical,Statistische Quartiere Zürich,https://geolion.zh.ch/geodatensatz/362,Nein,ms:ogd-0278_arv_basis_up_stadtquartiere_f
Statistical,Statistische Quartiere Winterthur,https://geolion.zh.ch/geodatensatz/362,Nein,ms:ogd-0278_arv_basis_up_stadtquartiere_f
Statistical,Statistische Zonen Zürich,https://www.stadt-zuerich.ch/geodaten/download/Statistische_Zonen,Nein,
Statistical,Hektarraster,https://www.giswiki.ch/Hektarraster,Nein,
Regionalpolitisch/Raumplanung,Raumplanungsregionen (RPR),https://www.geolion.zh.ch/geodatensatz/2413,Nein,ms:ogd-0183_giszhpub_rp_raumplanungsregionen_f
Regionalpolitisch/Raumplanung,Quartieranalyse,https://geo.zh.ch/s/0112f5d6-5a22-49a0-8b3f-1d6cb2ff41e8,Nein,ms:ogd-0485_stat_quartiere_f
Regionalpolitisch/Raumplanung,Zonenpläne,https://www.geolion.zh.ch/geodatensatz/265,Ja,ms:ogd-0066_giszhpub_zonenplan_ueberbauungsstand_f
Andere,Biogeographische Regionen,https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/fc110d43-cfbc-4029-a73c-f24bd67c9689,Ja,
Andere,Oberstufengemeinden Kanton ZH,Geometry cannot be found,Nein,
